Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
2037,0.6266104032540631,0.931237770956321,1.2608651386585787,4.668996071497599,5.860269975344339,7.603397288004556
2038,0.6466104032540632,0.9562377709563209,1.2968651386585788,4.810996071497598,6.068269975344339,7.881397288004557
2039,0.6666104032540632,0.9822377709563209,1.3318651386585785,4.9549960714975985,6.27826997534434,8.160397288004557
2040,0.6876104032540632,1.007237770956321,1.3678651386585785,5.098996071497599,6.49026997534434,8.443397288004556
2041,0.7076104032540632,1.0322377709563209,1.4028651386585786,5.244996071497599,6.70526997534434,8.728397288004556
2042,0.7276104032540631,1.0572377709563208,1.4378651386585788,5.390996071497598,6.92226997534434,9.016397288004557
2043,0.7486104032540631,1.0822377709563211,1.4728651386585785,5.5389960714976,7.14026997534434,9.307397288004557
2044,0.7686104032540632,1.107237770956321,1.5078651386585786,5.687996071497599,7.360269975344339,9.602397288004557
2045,0.7886104032540632,1.132237770956321,1.5418651386585784,5.8369960714976,7.581269975344339,9.899397288004556
2046,0.8096104032540632,1.156237770956321,1.5758651386585787,5.9879960714976,7.803269975344341,10.200397288004556
2047,0.8296104032540632,1.1812377709563209,1.6098651386585785,6.1389960714975995,8.02526997534434,10.505397288004557
2048,0.8506104032540631,1.205237770956321,1.6438651386585788,6.2919960714976,8.24726997534434,10.814397288004557
2049,0.8706104032540631,1.229237770956321,1.6778651386585786,6.444996071497599,8.46926997534434,11.126397288004556
2050,0.8906104032540632,1.253237770956321,1.7108651386585785,6.598996071497599,8.69026997534434,11.443397288004556
2051,0.9106104032540632,1.277237770956321,1.7438651386585784,6.7539960714976,8.91026997534434,11.764397288004556
2052,0.9306104032540632,1.301237770956321,1.7768651386585788,6.908996071497599,9.130269975344339,12.089397288004557
2053,0.9506104032540632,1.3242377709563211,1.8088651386585788,7.065996071497599,9.34926997534434,12.416397288004557
2054,0.9696104032540631,1.3472377709563208,1.8408651386585788,7.223996071497599,9.56826997534434,12.747397288004557
2055,0.9896104032540631,1.370237770956321,1.8728651386585788,7.382996071497599,9.787269975344339,13.079397288004557
2056,1.0086104032540633,1.393237770956321,1.9048651386585789,7.542996071497599,10.00626997534434,13.412397288004557
2057,1.0276104032540632,1.4152377709563209,1.9358651386585786,7.7049960714975985,10.226269975344339,13.745397288004556
2058,1.046610403254063,1.437237770956321,1.9668651386585787,7.867996071497599,10.44626997534434,14.079397288004557
2059,1.064610403254063,1.459237770956321,1.9978651386585788,8.0329960714976,10.66726997534434,14.412397288004557
2060,1.0836104032540632,1.4812377709563211,2.0278651386585786,8.1989960714976,10.89026997534434,14.743397288004557
